weekofmonth,dayofweek,make,accidentarea,dayofweekclaimed,weekofmonthclaimed,sex,maritalstatus,age,fault,policytype,vehiclecategory,vehicleprice,policynumber,repnumber,deductible,driverrating,days_policy_accident,days_policy_claim,pastnumberofclaims,ageofvehicle,ageofpolicyholder,policereportfiled,witnesspresent,agenttype,numberofsuppliments,addresschange_claim,numberofcars,year,basepolicy
4,2,13,0,5,5,1,1,35,0,0,0,0,5269,5,400,3,3,2,1,5,4,0,0,0,0,3,0,1994,0
2,4,13,1,2,3,1,1,46,0,2,1,1,8570,16,400,1,3,2,2,5,6,0,0,0,0,3,2,1995,2
3,1,13,1,5,3,1,1,42,0,1,0,0,3577,10,400,4,3,2,3,3,5,0,0,0,3,3,0,1994,1
2,5,18,1,7,2,1,2,51,1,2,1,2,1728,1,400,3,3,2,0,5,6,0,0,0,2,3,0,1994,2
1,0,6,1,5,2,1,1,37,0,0,0,5,12266,5,400,3,3,2,1,6,5,0,0,0,2,3,0,1996,0
1,3,0,1,6,2,1,2,53,0,0,0,5,12409,16,400,2,3,2,1,5,6,0,0,0,3,3,0,1996,0
3,2,13,1,6,3,1,1,34,0,2,1,0,4593,4,400,1,3,2,1,5,4,0,0,0,2,3,2,1994,2
5,4,6,1,2,1,1,1,53,0,2,1,0,3115,8,400,2,3,2,1,5,6,0,0,0,3,3,0,1994,2
3,5,13,1,5,4,1,1,34,1,1,0,0,14899,7,400,2,3,2,3,4,4,0,0,0,0,3,0,1996,1
1,4,17,1,2,2,1,1,68,0,2,1,0,5815,11,500,3,3,2,1,6,8,0,0,0,3,1,0,1994,2
3,6,13,1,6,4,1,2,25,0,2,1,0,11005,13,400,1,3,2,1,3,3,0,0,0,3,2,1,1995,2
1,6,17,0,5,1,1,1,49,0,0,0,5,5471,7,400,3,3,2,1,6,6,0,0,0,0,3,0,1994,0
2,2,6,0,1,4,1,1,64,0,0,0,4,9290,13,400,4,3,2,0,5,7,0,0,0,3,3,0,1995,0
5,1,13,1,1,4,1,2,29,0,2,1,0,15188,16,400,4,3,2,1,4,4,0,0,0,3,3,0,1996,2
3,4,2,1,1,3,1,1,31,1,0,0,0,330,3,400,3,3,2,0,4,4,0,0,0,0,3,0,1994,0
4,4,6,1,6,4,1,2,35,0,1,0,0,6557,12,400,2,3,2,3,3,4,0,0,0,3,3,0,1995,1
4,4,6,1,1,4,1,1,50,1,0,0,0,6134,16,400,4,3,2,2,4,6,0,0,0,3,3,0,1994,0
2,5,13,1,6,2,1,2,52,0,0,0,1,11626,12,700,4,3,2,3,6,6,0,0,0,1,3,0,1996,0
2,1,13,1,7,4,1,1,44,1,0,0,4,13379,15,400,2,3,2,0,4,5,0,0,0,2,3,0,1996,0
1,0,6,1,7,2,1,1,54,1,4,1,5,1733,7,400,3,3,2,3,6,6,0,0,0,3,3,0,1994,1
3,5,9,1,6,3,1,1,48,0,2,1,0,4901,13,400,2,3,2,2,6,6,0,0,0,0,3,0,1994,2
3,4,2,1,2,4,1,2,34,0,1,0,1,10802,12,400,3,3,2,3,4,4,0,0,0,3,3,0,1995,1
1,3,17,0,6,5,1,1,30,0,1,0,0,12822,15,400,2,3,2,3,5,4,0,0,0,3,3,0,1996,1
3,1,2,1,2,3,1,2,33,0,2,1,1,4345,5,400,2,3,2,1,5,4,0,0,0,1,3,0,1994,2
1,6,17,1,5,2,1,1,40,0,2,1,0,9642,10,700,2,3,2,2,6,5,0,0,0,3,3,0,1995,2
3,4,17,1,7,3,0,1,37,1,2,1,5,2467,10,400,2,3,2,0,5,5,0,0,0,0,3,0,1994,2
1,5,6,1,7,1,1,2,35,1,0,0,0,7941,1,400,3,3,2,3,4,4,0,0,0,3,3,0,1995,0
3,1,13,1,5,3,1,1,43,0,2,1,2,12653,12,400,2,3,2,0,5,5,0,0,0,3,3,0,1996,2
4,2,9,1,2,4,1,1,54,0,1,0,0,8003,13,400,3,3,2,1,6,6,0,0,0,2,3,0,1995,1
2,3,13,1,2,2,1,1,74,0,2,1,0,10065,15,400,4,3,2,1,6,8,0,0,0,2,3,0,1995,2
1,6,17,1,1,1,0,1,41,0,0,0,4,12815,7,400,4,3,2,0,3,5,0,0,0,3,3,0,1996,0
3,6,5,1,1,4,1,1,39,0,1,0,2,3706,12,400,1,3,2,3,5,5,0,0,0,3,3,0,1994,1
3,0,9,1,2,3,1,2,26,0,1,0,0,13645,5,400,1,3,2,3,4,4,0,0,0,3,3,0,1996,1
5,2,17,1,5,1,1,2,22,0,2,1,1,10611,16,400,4,3,2,1,3,3,0,0,0,0,3,0,1995,2
1,0,17,1,1,2,0,2,33,0,1,0,0,1723,9,400,2,3,2,1,4,4,0,0,0,3,2,2,1994,1
3,4,9,1,1,3,1,2,25,0,0,0,0,9357,8,400,1,3,2,3,2,3,0,0,0,3,3,0,1995,0
2,4,6,1,1,2,1,2,30,0,1,0,5,6075,11,400,2,3,2,3,7,0,0,0,0,3,3,0,1994,1
1,4,13,1,5,1,1,1,45,0,2,1,5,13259,4,400,1,3,2,1,5,5,0,0,0,1,3,0,1996,2
4,2,13,1,6,4,1,1,39,0,2,1,1,7649,1,400,4,3,2,2,6,5,0,0,0,2,3,0,1995,2
2,4,17,1,6,3,1,1,33,0,1,0,0,627,15,400,3,3,2,1,5,4,0,0,0,3,3,0,1994,1
3,4,13,1,7,3,1,1,56,1,1,0,0,14101,7,400,3,0,2,0,6,7,1,1,0,3,3,0,1996,1
4,3,17,1,2,4,1,1,61,0,1,0,1,4072,14,400,4,3,2,0,6,7,0,0,1,3,3,0,1994,1
3,5,17,1,7,3,1,1,44,0,0,0,0,5728,10,400,3,3,2,0,5,5,0,0,0,2,3,0,1994,0
3,0,17,1,1,3,1,1,45,0,2,1,0,11352,7,400,1,3,2,1,6,5,0,0,0,2,3,0,1996,2
2,1,2,1,5,2,1,1,52,1,1,0,5,13950,12,400,4,3,2,2,6,6,0,0,0,1,3,0,1996,1
4,2,9,1,6,5,1,1,26,1,1,0,0,11084,10,400,1,3,2,2,5,4,0,0,0,1,3,0,1995,1
1,2,0,1,6,2,0,1,55,0,2,1,0,2027,11,400,1,3,2,1,5,6,0,0,0,3,3,0,1994,2
3,1,6,1,5,4,1,1,32,0,2,1,5,9760,9,400,2,3,2,1,4,4,0,0,0,0,3,0,1995,2
4,3,9,1,2,4,0,2,43,0,2,1,0,15283,15,400,1,3,2,0,5,5,0,0,0,3,3,0,1996,2
3,3,17,0,2,3,1,2,69,0,2,1,0,1992,1,400,4,3,2,3,5,8,0,0,0,0,3,0,1994,2
4,5,18,1,1,1,0,2,30,0,2,1,3,8838,4,400,1,3,2,2,4,4,0,0,0,3,3,0,1995,2
1,5,13,1,5,1,1,1,55,1,0,0,4,7407,2,400,3,3,2,0,5,6,0,0,0,3,3,0,1995,0
3,2,13,0,2,3,0,1,53,0,2,1,0,8254,12,400,1,3,2,2,6,6,0,0,0,3,2,1,1995,2
4,5,17,1,5,1,1,2,27,0,1,0,0,8874,1,400,2,3,2,0,5,4,0,0,0,0,3,0,1995,1
5,2,2,1,6,2,1,2,68,1,0,0,5,4514,5,400,4,3,2,3,6,8,0,0,0,2,3,0,1994,0
3,2,17,1,2,3,1,2,22,0,0,0,0,511,12,400,2,3,2,2,1,3,0,0,0,0,1,0,1994,0
5,4,9,1,7,1,1,1,38,0,2,1,0,6168,8,400,1,3,2,0,4,5,0,0,0,2,3,0,1995,2
4,2,9,1,2,5,1,2,44,1,1,0,1,2645,9,400,3,3,2,0,5,5,0,0,0,3,3,0,1994,1
4,5,6,1,5,2,1,1,48,1,2,1,0,14777,8,400,4,3,2,3,4,6,0,0,0,3,3,0,1996,2
4,2,17,1,6,1,1,1,61,1,0,0,0,11059,14,400,2,3,2,1,6,7,0,0,0,1,3,0,1995,0
1,0,17,1,6,2,1,1,32,0,1,0,1,329,12,400,1,3,2,1,4,4,0,0,0,0,3,2,1994,1
1,1,9,1,6,1,1,2,35,1,4,1,5,6380,13,400,3,3,2,3,5,4,0,1,0,2,3,0,1995,1
3,5,2,1,6,2,1,1,50,0,6,2,5,6597,4,400,2,3,2,2,6,6,0,0,0,0,3,0,1995,0
3,4,18,1,1,1,1,2,40,1,0,0,1,9790,10,400,4,3,2,0,5,5,0,0,0,2,3,0,1995,0
3,5,2,1,6,1,1,1,58,1,0,0,0,9258,1,400,4,3,2,0,6,7,0,0,0,0,3,0,1995,0
3,2,13,0,5,1,0,0,30,0,1,0,0,2680,14,400,3,3,2,3,4,4,0,0,0,2,3,0,1994,1
1,3,6,1,6,3,1,2,30,0,0,0,5,3251,1,400,4,3,2,3,7,0,0,0,0,3,3,0,1994,0
2,4,13,1,6,3,0,2,26,0,1,0,0,13630,5,400,1,3,2,0,4,4,0,0,0,2,2,1,1996,1
4,1,6,1,7,4,1,1,59,0,2,1,0,954,1,400,3,3,2,3,6,7,0,0,0,2,3,0,1994,2
3,4,17,1,6,1,1,1,28,0,0,0,4,13655,15,400,3,3,2,0,4,4,0,0,0,3,3,0,1996,0
3,1,2,1,6,3,1,2,36,0,2,1,1,12359,16,400,1,3,2,2,5,5,0,0,0,3,3,0,1996,2
4,0,13,1,1,4,1,2,30,0,2,1,0,1771,14,400,1,3,2,1,5,4,0,0,0,3,3,0,1994,2
5,6,13,1,2,1,0,2,30,0,2,1,0,6540,5,400,1,3,2,1,5,4,0,0,0,1,3,0,1995,2
1,0,9,0,2,2,1,1,50,1,1,0,1,4642,6,500,1,3,2,1,6,6,0,0,0,1,0,1,1994,1
4,2,18,1,2,4,1,2,28,0,0,0,2,5099,15,400,1,3,2,3,5,4,0,0,0,1,3,0,1994,0
4,2,6,1,7,4,1,1,39,1,1,0,1,7043,10,400,1,3,2,0,5,5,0,0,0,1,3,0,1995,1
2,2,9,1,6,2,1,1,50,0,0,0,1,6294,4,700,3,3,2,1,6,6,0,0,0,0,3,0,1995,0
4,1,6,1,6,1,1,2,44,0,0,0,1,5303,11,400,4,3,2,0,5,5,0,0,0,3,3,0,1994,0
1,1,2,1,2,1,0,1,49,0,2,1,0,9467,5,400,2,3,2,0,6,6,0,0,0,1,3,0,1995,2
3,2,6,1,7,4,1,2,28,1,4,1,5,8380,10,400,2,3,2,3,4,4,0,0,0,2,2,1,1995,1
2,3,2,1,6,3,1,2,30,0,1,0,0,4979,6,400,3,3,2,3,4,4,0,0,0,3,3,0,1994,1
5,5,13,1,1,1,1,1,38,0,2,1,1,3365,16,400,1,3,2,1,5,5,0,0,0,3,3,0,1994,2
1,4,2,1,5,2,1,1,76,0,2,1,1,6253,15,400,4,3,2,2,6,8,0,0,0,0,3,0,1995,2
1,6,9,1,7,1,1,1,33,1,1,0,5,8817,2,400,2,3,2,1,5,4,0,0,0,3,3,0,1995,1
4,4,2,1,7,1,0,1,44,0,1,0,0,421,2,400,3,3,2,3,6,5,0,0,0,3,2,1,1994,1
1,6,9,1,5,1,1,1,70,0,1,0,5,15190,15,400,2,3,2,1,6,8,0,0,0,2,3,0,1996,1
5,5,6,1,7,5,1,1,41,1,1,0,0,11964,13,400,1,3,2,1,5,5,0,0,0,2,3,0,1996,1
1,1,17,1,2,2,1,1,77,0,0,0,5,9709,7,400,3,3,2,3,6,8,0,0,0,0,3,0,1995,0
4,0,6,1,6,1,1,1,30,0,1,0,0,11593,7,400,1,3,2,3,4,4,0,0,0,3,2,1,1996,1
3,1,6,1,2,4,1,2,22,1,0,0,4,10906,15,400,3,3,2,1,2,3,0,0,0,3,3,0,1995,0
2,1,9,1,2,3,1,1,44,0,2,1,1,13987,11,400,4,3,2,1,6,5,0,0,0,2,2,1,1996,2
4,4,15,1,5,2,1,1,36,0,2,1,5,2724,7,400,3,3,2,0,5,5,0,0,0,0,3,0,1994,2
4,6,17,0,5,2,1,1,41,0,1,0,1,2640,9,400,3,3,2,3,5,5,0,0,0,3,0,0,1994,1
2,1,9,1,2,2,1,2,32,1,1,0,0,13137,1,400,3,3,2,0,3,4,0,0,0,3,3,0,1996,1
3,2,9,1,1,4,1,2,28,1,1,0,0,13028,10,400,2,3,2,1,4,4,0,0,0,0,3,0,1996,1
4,0,17,1,2,2,1,2,37,0,2,1,1,3028,12,400,2,3,2,1,5,5,0,0,0,2,3,0,1994,2
2,6,17,0,5,2,1,1,55,0,0,0,4,10411,7,400,1,3,2,0,6,6,0,0,0,0,3,0,1995,0
2,4,17,1,1,4,1,1,51,0,0,0,5,13629,8,400,1,3,2,3,6,6,0,0,0,0,3,0,1996,0
2,0,17,1,6,4,1,2,27,1,2,1,0,8096,13,400,4,3,2,1,4,4,0,0,0,3,3,0,1995,2
5,4,0,1,7,2,1,1,57,0,6,2,5,13226,2,400,3,3,2,3,6,7,0,0,0,3,3,0,1996,0
3,6,13,1,2,3,1,1,30,0,2,1,1,7296,11,400,3,3,2,2,5,4,0,0,0,0,3,0,1995,2
2,2,6,1,2,2,0,2,24,0,1,0,0,2097,7,400,3,3,2,0,3,3,0,0,0,1,3,0,1994,1
4,5,6,1,6,4,1,1,41,0,2,1,0,9100,5,400,4,3,2,1,5,5,0,0,0,1,3,0,1995,2
5,5,9,1,5,3,1,1,55,0,2,1,1,1736,13,400,1,3,2,0,5,6,0,0,0,3,3,0,1994,2
